id;Titulo;Barrio;Distrito;C.Postal;Direccion;Latitud;Longitud;Descripcion
1;Casa Museo Lope de Vega;Cortes;Centro;28014;CALLE CERVANTES 11;40.414358466555235;-3.6974741545860015;'Mi casilla, mi quietud, mi g&ampuumlertecillo y estudio'. Así define su casa Félix Lope de Vega (1562-1635) en una carta dirigida a un amigo. Situada en pleno centro histórico, en el Barrio de las Letras, la Casa Museo Lope de Vega se ubica en el edificio donde el escritor vivió sus últimos 25 años. La recreación de ambientes, cuyo objetivo es que se respire la presencia de Lope, evoca la vida cotidiana del Siglo de Oro y nos acerca a su intimidad. El equipamiento de la casa incorpora obras de arte, mobiliario, enseres y ediciones bibliográficas vinculadas al literato y su tiempo. Visitas Guiadas El acceso al museo se hace mediante visitas guiadas en grupo (máximo 15 personas). Imprescindible reservar con antelación, llamando al teléfono 914 299 216 o escribiendo un correo electrónico a casamuseolopedevega@madrid.org.Las visitas comienzan cada media hora y tienen una duración aproximada de 35 minutos (última visita a las 17 horas).También se realizan visitas en inglés y francés.Metro: Antón Martín (línea 1).Bus: M1Bicimad:Estación 27 (calle Jesús)Estación 52 (Plaza de Santa Ana)Cercanías Renfe: Sol (líneas C3 y C4)
2;Casita - Museo del Ratón Pérez;Sol;Centro;28013;CALLE ARENAL 8 PLANTA 1.ª;40.41704834412296;-3.7055288844865233;La residencia de la familia Pérez está situada en los sótanos de la confitería Prasi, en el número ocho de la calle del Arenal, según cita Luis Coloma. La compra de entradas se efectúa únicamente en el mostrador la tienda.Venta de entradas directamente en el Museo.Recomendado a partir de los 5 años.Aforo limitado. El acceso es por turnos de visitas.Metro: Sol (líneas: 1, 2 y 3), Ópera (línea 3, Ramal Ópera Príncipe Pío), Callao (línea 3, 5)Bus: 3Bicimad: Estación 31 (calle Mayor, 20)Estación 25 a y b (Plaza Celenque, 1)
3;Castillo de la Alameda;AlamedaOsuna;Barajas;28042;CALLE ANTONIO SANCHA 1;40.45835460563491;-3.5932903820278788;El Castillo de la Alameda o de Barajas se trata de uno de los escasos vestigios de la arquitectura militar del pasado siglo XV y uno de los pocos castillos que ha sobrevivido al paso del tiempo. Bajo él y su entorno, existen restos de asentamientos antiguos desde la Edad del Bronce hasta la Época Romana.En el edificio se realizan talleres para escolares y actividades en verano.Accesibilidad Rampas de acceso.Aseos adaptados para personas con movilidad reducida.Información en Braille para invidentes.Metro: Alameda de Osuna y El Capricho (línea 5) Bus: 101, 105, 112, 114, 115 y 151
4;Casón del Buen Retiro. Museo Nacional del Prado, Centro de Estudios;LosJeronimos;Retiro;28014;CALLE ALFONSO XII 28;40.415263749471535;-3.689232811717636;Edificio que forma parte del Museo Nacional del Prado, donde pueden consultarse fondos de la Biblioteca, del Archivo y del Servicio de Documentación de la colección del Museo y de otras fuentes relativas a la historia del arte.Descripción monumental El Casón o Salón de Baile es el único volumen que permanece del antiguo Palacio del buen Retiro, ejecutado en 1637 con un proyecto de Alonso Carbonel. Aún se conserva la bóveda de cañon con lunetas, pintada al fresco por Lucas Jordán en 1692 con la Alegoría del Toisón de Oro. Su fachada principal, a poniente, arrasada la primitiva en 1886 por un ciclón, es de Velázquez Bosco. La última rehabilitación ha sido realizada por Jaime Torruell.Metro: Estación del Arte (Atocha) (línea 1)Bus: 19Renfe: AtochaBicimad: Estación 65 (calle Antonio Maura, 15)
5;Centro Social y Cultural La Casa Encendida;Embajadores;Centro;28012;RONDA VALENCIA 2;40.40595710517701;-3.699779793558763;Edificio de carácter monumental. De estilo neomudéjar, fue diseñado por el arquitecto Fernando Arbós e inaugurado en el año 1913. Cuenta con más de 6000 metros cuadrados de instalaciones divididas en 4 plantas y una azotea.Metro: Embajadores (línea 3).Bus: 119, 27, 34, 36, 41, C2, C1, M1.Cercanías Renfe: Embajadores (línea C5).Bicimad: Estación 49 (ronda de Atocha, 34).
6;Ermita de San Antonio de la Florida (Museo);CasaCampo;Moncloa-Aravaca;28008;GLORIETA SAN ANTONIO DE LA FLORIDA 5;40.425256682855846;-3.725725718176111;Ermita dedicada a San Antonio de Padua y pequeño museo. Las pinturas murales que la decoran son de Francisco de Goya. Alberga los restos mortales del artista desde 1919. Para preservar sus pinturas, en 1929 se trasladó el culto a una ermita gemela construida a su lado, dejando el edificio original como museo.Metro: Príncipe Pío (líneas 5, 10 y ramal Ópera - Príncipe Pío) Bus: 41, 46 y 75 (Intercambiador Príncipe Pío) Renfe: Príncipe Pío BICIMAD: Estación 161 (Paseo de la Florida 8)
7;Espacio Fundación Telefónica;Universidad;Centro;28004;CALLE FUENCARRAL 3;40.42041458612889;-3.7016034186955076;Metro: Gran Vía (líneas 1, 5)Bus: 1, 146, 2, 46, 74, M2, 3.Bicimad: Estación 211 (Desengaño, 1).
8;Fundación AMYC (Arte Moderno y Contemporáneo). Casa Museo Fuente del Rey;Aravaca;Moncloa-Aravaca;28023;CALLE FUENTE DEL REY 11;40.45546180290319;-3.7705836264842576;Bus: 161.
9;Monasterio de las Descalzas Reales;Sol;Centro;28013;PLAZA DESCALZAS 3;40.418233359889484;-3.706213134639163;Convento fundado por la Princesa Juana de Austria, transformando un antiguo palacio de su madre Isabel de Portugal.Metro: Ópera (líneas 2, 5 y Ramal Ópera-Príncipe Pío)Bus: 3, 25, 39, 148Bicimad: Estación 25 a y b (Plaza de Celenque)
10;Museo ABC;Universidad;Centro;28015;CALLE AMANIEL 29;40.42741121610518;-3.709539260414957;Centro de arte, dibujo e ilustración.Metro: San Bernardo (líneas 2, 4), Noviciado (línea 2), Ventura Rodríguez (línea 3), Plaza de España (líneas 3, 10) Bus: M2Bicimad: Estación 13 (calle Conde Duque 22)
11;Museo Africano Mundo Negro;SanJuanBautista;CiudadLineal;28043;CALLE ARTURO SORIA 101;40.449464654033605;-3.65149172790308;Bus: 11, 70, 114, 122, 115, 200.
12;Museo Arqueológico Nacional;Recoletos;Salamanca;28001;CALLE SERRANO 13;40.42327763947072;-3.688418705931963;Fundado en 1867, el MAN se inauguró en 1895 en su actual sede, en el Palacio de Biblioteca y Museos, edificio proyectado por Francisco Jareño y terminado por Antonio Ruiz de Salces.Metro: Serrano (línea 4)Bus: 1, 9, 19, 51, 74, 5, 14, 27, 45, 53, 150Cercanías Renfe: Recoletos (línea C1, C2, C7, C-10 y Regional)Bicimad: Estación 95 (calle Claudio Coello 109)
13;Museo Casa de la Moneda;Goya;Salamanca;28028;CALLE DOCTOR ESQUERDO 36;40.42259797372905;-3.6691502061733674;Metro: O&ampacuteDonnell (línea 6).Bus: 143, 156, 2, 30, 56, 71, C2, 28, 203.Bicimad: Estación 101 (calle Jorge Juan, 131).
14;Museo Cerralbo;Arguelles;Moncloa-Aravaca;28008;CALLE VENTURA RODRIGUEZ 17;40.42376732078657;-3.7146170388153497;Este Palacio, construido entre 1883 y 1893, fue concebido como vivienda y como museo para sede de las obras de arte reunidas por los Marqueses de Cerralbo y sus hijos, los Marqueses de Villa Huerta, durante los numerosos viajes que realizaron por España y Europa.Metro: Plaza de España (líneas 3, 10), Príncipe Pío (líneas 6 y 10)Bus: 62, 74.Cercanías Renfe: Príncipe Pio (líneas C1, C7 Y C10).Bicimad: Estación 14 (calle Ventura Rodríguez, 2).
15;Museo EMT;Castilla;Chamartin;28046;CALLE MAURICIO LEGENDRE 40;40.480173612860305;-3.6831595451893273;El Museo de la EMT se ha convertido en realidad tras una década de duro trabajo de recuperación, restauración y reparación del patrimonio histórico de la Empresa Municipal de Transportes de Madrid, especialmente, material móvil, mobiliario, piezas mecánicas, maquinaria y otros elementos inherentes a la actividad de la EMT en sus 70 años de historia.Metro: Begoña (línea 10).Bus: 66, 173, 174, 176, 191, 193, 194, 195, 196, 197, 712, 713, 714, 716, L171.
